adjustments_to_unobligated_cpe,agency_identifier,allocation_transfer_agency,availability_type_code,beginning_period_of_availa,borrowing_authority_amount_cpe,budget_authority_appropria_cpe,budget_authority_available_cpe,budget_authority_unobligat_fyb,contract_authority_amount_cpe,deobligations_recoveries_r_cpe,ending_period_of_availabil,gross_outlay_amount_by_tas_cpe,main_account_code,obligations_incurred_total_cpe,other_budgetary_resources_cpe,spending_authority_from_of_cpe,status_of_budgetary_resour_cpe,sub_account_code,fiscal_year,period,tas,tas_with_sub
6550,69,,X,,0,0,119068,51825,0,2461,,-27387,1301,20550,60693,60693,119068,0,2017,9,000-069-0000-0000-X-1301,000-069-0000-0000-X-1301-000
0,69,,X,,0,0,2,2,0,0,,0,1303,0,0,0,2,0,2017,9,000-069-0000-0000-X-1303,000-069-0000-0000-X-1303-000
225,69,,X,,0,0,2254138,2146923,0,0,,-539,4120,514,106990,106990,2254138,0,2017,9,000-069-0000-0000-X-4120,000-069-0000-0000-X-4120-000
36493,69,,X,,0,0,813167,260377,0,21601,,-317109,4562,378352,516297,516297,813167,0,2017,9,000-069-0000-0000-X-4562,000-069-0000-0000-X-4562-000
-682,69,,X,,0,12652,21215,9245,0,0,,-681,5422,607,0,0,21215,0,2017,9,000-069-0000-0000-X-5422,000-069-0000-0000-X-5422-000
0,69,,X,,0,14,14,0,0,0,,-14,8103,14,0,0,14,0,2017,9,000-069-0000-0000-X-8103,000-069-0000-0000-X-8103-000
158107,69,,X,,0,0,3511459,15610,3335142,130679,,-2347602,8106,332317,3337742,2600,3511459,0,2017,9,000-069-0000-0000-X-8106,000-069-0000-0000-X-8106-000
2780,69,,X,,0,0,174734,88644,0,1101,,-24051,8107,23593,83310,83310,174734,0,2017,9,000-069-0000-0000-X-8107,000-069-0000-0000-X-8107-000
200,69,,X,,0,0,1927,986,0,0,,-98,8108,217,741,741,1927,0,2017,9,000-069-0000-0000-X-8108,000-069-0000-0000-X-8108-000
1197,69,,,2010,0,0,15179,13958,0,1197,2012,-2673,8107,49,24,24,15179,0,2017,9,000-069-2010-2012- -8107,000-069-2010-2012- -8107-000
65,69,,,2010,0,0,1278,1229,0,65,2012,-94,8108,27,-16,-16,1278,0,2017,9,000-069-2010-2012- -8108,000-069-2010-2012- -8108-000
0,69,,,2011,0,0,2114,2114,0,0,2012,-77,1301,0,0,0,2114,0,2017,9,000-069-2011-2012- -1301,000-069-2011-2012- -1301-000
0,69,,,2011,0,0,0,0,0,0,2012,0,8107,0,0,0,0,0,2017,9,000-069-2011-2012- -8107,000-069-2011-2012- -8107-000
739,69,,,2011,0,0,10631,9893,0,739,2013,-5542,8107,210,-1,-1,10631,0,2017,9,000-069-2011-2013- -8107,000-069-2011-2013- -8107-000
57,69,,,2011,0,0,1056,999,0,57,2013,-24,8108,0,0,0,1056,0,2017,9,000-069-2011-2013- -8108,000-069-2011-2013- -8108-000
5568,69,,,2012,0,0,32254,26838,0,5568,2012,2726,1301,501,-151,-151,32254,0,2017,9,000-069-2012-2012- -1301,000-069-2012-2012- -1301-000
15,69,,,2012,0,0,3678,3663,0,15,2012,-22,8107,10,0,0,3678,0,2017,9,000-069-2012-2012- -8107,000-069-2012-2012- -8107-000
0,69,,,2012,0,0,3436,3436,0,0,2013,0,1301,0,0,0,3436,0,2017,9,000-069-2012-2013- -1301,000-069-2012-2013- -1301-000
1602,69,,,2012,0,0,10634,9032,0,1602,2014,-11197,8107,15,0,0,10634,0,2017,9,000-069-2012-2014- -8107,000-069-2012-2014- -8107-000
246,69,,,2012,0,0,1094,847,0,246,2014,-531,8108,8,0,0,1094,0,2017,9,000-069-2012-2014- -8108,000-069-2012-2014- -8108-000
742,69,,,2013,0,0,12708,11982,0,742,2013,-5286,1301,1001,-16,-16,12708,0,2017,9,000-069-2013-2013- -1301,000-069-2013-2013- -1301-000
95,69,,,2013,0,0,3098,3004,0,95,2013,21,8107,56,0,0,3098,0,2017,9,000-069-2013-2013- -8107,000-069-2013-2013- -8107-000
1211,69,,,2013,0,0,8952,7746,0,1211,2015,-21669,8107,1022,-5,-5,8952,0,2017,9,000-069-2013-2015- -8107,000-069-2013-2015- -8107-000
64,69,,,2013,0,0,960,897,0,64,2015,-1656,8108,24,0,0,960,0,2017,9,000-069-2013-2015- -8108,000-069-2013-2015- -8108-000
2101,69,,,2014,0,0,24728,23778,0,2101,2014,-6564,1301,1627,-1152,-1152,24728,0,2017,9,000-069-2014-2014- -1301,000-069-2014-2014- -1301-000
64,69,,,2014,0,0,2210,2145,0,64,2014,-99,8107,77,0,0,2210,0,2017,9,000-069-2014-2014- -8107,000-069-2014-2014- -8107-000
4959,69,,,2014,0,0,10113,5352,0,4959,2016,-139761,8107,1504,-199,-199,10113,0,2017,9,000-069-2014-2016- -8107,000-069-2014-2016- -8107-000
284,69,,,2014,0,0,1081,803,0,284,2016,-11964,8108,191,-7,-7,1081,0,2017,9,000-069-2014-2016- -8108,000-069-2014-2016- -8108-000
5299,69,,,2015,0,0,22168,21189,0,5299,2015,-48038,1301,1210,-4319,-4319,22168,0,2017,9,000-069-2015-2015- -1301,000-069-2015-2015- -1301-000
95,69,,,2015,0,0,952,857,0,95,2015,-44,8107,95,0,0,952,0,2017,9,000-069-2015-2015- -8107,000-069-2015-2015- -8107-000
43160,69,,,2015,0,0,226244,170440,0,34819,2017,-357946,8107,190031,12644,12644,226244,0,2017,9,000-069-2015-2017- -8107,000-069-2015-2017- -8107-000
1200,69,,,2015,0,0,19107,16989,0,703,2017,-36443,8108,14159,918,918,19107,0,2017,9,000-069-2015-2017- -8108,000-069-2015-2017- -8108-000
47312,69,,,2016,0,0,52207,9501,0,47312,2016,-1187641,1301,21623,-4606,-4606,52207,0,2017,9,000-069-2016-2016- -1301,000-069-2016-2016- -1301-000
0,69,,,2016,0,0,0,0,0,0,2016,0,8104,0,0,0,0,0,2017,9,000-069-2016-2016- -8104,000-069-2016-2016- -8104-000
1402,69,,,2016,0,0,1861,459,0,1402,2016,-26965,8107,406,0,0,1861,0,2017,9,000-069-2016-2016- -8107,000-069-2016-2016- -8107-000
38023,69,,,2016,0,0,1019258,967507,0,31727,2018,-818742,8107,590711,13728,13728,1019258,0,2017,9,000-069-2016-2018- -8107,000-069-2016-2018- -8107-000
1100,69,,,2016,0,0,53591,47787,0,54,2018,-43956,8108,25316,4704,4704,53591,0,2017,9,000-069-2016-2018- -8108,000-069-2016-2018- -8108-000
0,69,,,2017,0,486000,486000,0,0,0,2017,-320789,8107,353327,0,0,486000,0,2017,9,000-069-2017-2017- -8107,000-069-2017-2017- -8107-000
