adjustments_to_unobligated_cpe,agency_identifier,allocation_transfer_agency,availability_type_code,beginning_period_of_availa,borrowing_authority_amount_cpe,budget_authority_appropria_cpe,budget_authority_available_cpe,budget_authority_unobligat_fyb,contract_authority_amount_cpe,deobligations_recoveries_r_cpe,ending_period_of_availabil,gross_outlay_amount_by_tas_cpe,main_account_code,obligations_incurred_total_cpe,other_budgetary_resources_cpe,spending_authority_from_of_cpe,status_of_budgetary_resour_cpe,sub_account_code,unobligated_balance_cpe,tas,tas_with_sub,fiscal_year,period
4006,69,X,X,0,0,0,21853,5695,0,443,0,-5068,102,918,12151,12151,21853,0,20935,069-0000-0000-X-0102,069-0000-0000-X-0102-000,2017,9
776,69,, ,2012,0,0,6609,5833,0,776,2012,-57,102,0,0,0,6609,0,6609,069-2012-2012- -0102,069-2012-2012- -0102-000,2017,9
53,69,, ,2013,0,0,2530,2484,0,53,2013,0,102,0,-7,-7,2530,0,2530,069-2013-2013- -0102,069-2013-2013- -0102-000,2017,9
4,69,, ,2013,0,0,296,292,0,4,2014,0,102,0,0,0,296,0,296,069-2013-2014- -0102,069-2013-2014- -0102-000,2017,9
74,69,, ,2014,0,0,3384,3310,0,74,2014,-557,102,0,0,0,3384,0,3384,069-2014-2014- -0102,069-2014-2014- -0102-000,2017,9
0,69,, ,2014,0,0,43,43,0,0,2015,-262,102,0,0,0,43,0,43,069-2014-2015- -0102,069-2014-2015- -0102-000,2017,9
122,69,, ,2015,0,0,1849,1753,0,122,2015,-440,102,17,-26,-26,1849,0,1831,069-2015-2015- -0102,069-2015-2015- -0102-000,2017,9
0,69,, ,2015,0,0,165,165,0,0,2016,-791,102,52,0,0,165,0,113,069-2015-2016- -0102,069-2015-2016- -0102-000,2017,9
227,69,, ,2016,0,0,3779,3423,0,227,2016,-9047,102,362,130,130,3779,0,3418,069-2016-2016- -0102,069-2016-2016- -0102-000,2017,9
0,69,, ,2017,0,114000,123800,0,0,0,2017,-70255,102,77441,9800,9800,123800,0,46359,069-2017-2017- -0102,069-2017-2017- -0102-000,2017,9
47,69,X,X,0,0,0,242,195,0,0,0,-40,104,45,0,0,242,0,197,069-0000-0000-X-0104,069-0000-0000-X-0104-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,069-0000-0000-X-0105,069-0000-0000-X-0105-000,2017,9
0,69,X,X,0,0,0,2034,2034,0,0,0,0,116,0,0,0,2034,0,2034,069-0000-0000-X-0116,069-0000-0000-X-0116-000,2017,9
0,69,, ,2012,0,0,0,0,0,0,2013,0,116,0,0,0,0,0,0,069-2012-2013- -0116,069-2012-2013- -0116-000,2017,9
0,69,, ,2013,0,0,0,0,0,0,2014,0,116,0,0,0,0,0,0,069-2013-2014- -0116,069-2013-2014- -0116-000,2017,9
32,69,, ,2014,0,0,32,0,0,32,2015,0,116,0,0,0,32,0,32,069-2014-2015- -0116,069-2014-2015- -0116-000,2017,9
0,69,, ,2015,0,0,0,0,0,0,2016,0,116,0,0,0,0,0,0,069-2015-2016- -0116,069-2015-2016- -0116-000,2017,9
0,69,, ,2016,0,0,0,0,0,0,2017,0,116,0,0,0,0,0,0,069-2016-2017- -0116,069-2016-2017- -0116-000,2017,9
0,69,, ,2017,0,4000,4000,0,0,0,2018,-2217,116,2217,0,0,4000,0,1783,069-2017-2018- -0116,069-2017-2018- -0116-000,2017,9
