allocation_transfer_agency,agency_identifier,availability_type_code,beginning_period_of_availa,ending_period_of_availabil,main_account_code,sub_account_code,tas,fiscal_year,period,line,amount
,69, ,2007,2012,142,0,069-2007-2012- -0142,2017,9,1000,229
,69, ,2007,2012,142,0,069-2007-2012- -0142,2017,9,1021,19
,69, ,2007,2012,142,0,069-2007-2012- -0142,2017,9,1029,0
,69, ,2007,2012,142,0,069-2007-2012- -0142,2017,9,1050,248
,69, ,2007,2012,142,0,069-2007-2012- -0142,2017,9,1060,229
,69, ,2007,2012,142,0,069-2007-2012- -0142,2017,9,1081,19
,69, ,2007,2012,142,0,069-2007-2012- -0142,2017,9,1089,0
,69, ,2007,2012,142,0,069-2007-2012- -0142,2017,9,1099,248
,69, ,2007,2012,142,0,069-2007-2012- -0142,2017,9,1910,248
,69, ,2007,2012,142,0,069-2007-2012- -0142,2017,9,2002,0
,69, ,2007,2012,142,0,069-2007-2012- -0142,2017,9,2004,0
,69, ,2007,2012,142,0,069-2007-2012- -0142,2017,9,2180,0
,69, ,2007,2012,142,0,069-2007-2012- -0142,2017,9,2190,0
,69, ,2007,2012,142,0,069-2007-2012- -0142,2017,9,2413,248
,69, ,2007,2012,142,0,069-2007-2012- -0142,2017,9,2490,248
,69, ,2007,2012,142,0,069-2007-2012- -0142,2017,9,2500,248
,69, ,2007,2012,142,0,069-2007-2012- -0142,2017,9,2501,496
,69, ,2007,2012,142,0,069-2007-2012- -0142,2017,9,2503,248
,69, ,2007,2012,142,0,069-2007-2012- -0142,2017,9,3000,19
,69, ,2007,2012,142,0,069-2007-2012- -0142,2017,9,3011,0
,69, ,2007,2012,142,0,069-2007-2012- -0142,2017,9,3041,-19
,69, ,2007,2012,142,0,069-2007-2012- -0142,2017,9,3050,0
,69, ,2007,2012,142,0,069-2007-2012- -0142,2017,9,3100,19
,69, ,2007,2012,142,0,069-2007-2012- -0142,2017,9,3200,0
,69, ,2009,2012,504,0,069-2009-2012- -0504,2017,9,1000,5213
,69, ,2009,2013,724,0,069-2009-2013- -0724,2017,9,1000,472
,69, ,2009,2012,718,0,069-2009-2012- -0718,2017,9,1000,37938
,69, ,2009,2014,718,0,069-2009-2014- -0718,2017,9,1000,284
,69, ,2009,2012,1133,0,069-2009-2012- -1133,2017,9,1000,44
,69, ,2009,2012,1101,0,069-2009-2012- -1101,2017,9,1000,645
,69, ,2009,2012,1102,0,069-2009-2012- -1102,2017,9,1000,431
,69, ,2009,2012,504,0,069-2009-2012- -0504,2017,9,1021,0
,69, ,2009,2012,718,0,069-2009-2012- -0718,2017,9,1021,17307
,69, ,2009,2012,1133,0,069-2009-2012- -1133,2017,9,1021,0
,69, ,2009,2012,1101,0,069-2009-2012- -1101,2017,9,1021,162
,69, ,2009,2012,1102,0,069-2009-2012- -1102,2017,9,1021,225
,69, ,2009,2012,504,0,069-2009-2012- -0504,2017,9,1029,0
,69, ,2009,2012,718,0,069-2009-2012- -0718,2017,9,1029,0
,69, ,2009,2012,1133,0,069-2009-2012- -1133,2017,9,1029,0
,69, ,2009,2012,1101,0,069-2009-2012- -1101,2017,9,1029,0
,69, ,2009,2012,1102,0,069-2009-2012- -1102,2017,9,1029,0
,69, ,2009,2012,1133,0,069-2009-2012- -1133,2017,9,1033,0
,69, ,2009,2012,1101,0,069-2009-2012- -1101,2017,9,1033,21
,69, ,2009,2012,504,0,069-2009-2012- -0504,2017,9,1050,5213
,69, ,2009,2013,724,0,069-2009-2013- -0724,2017,9,1050,472
,69, ,2009,2012,718,0,069-2009-2012- -0718,2017,9,1050,55245
,69, ,2009,2014,718,0,069-2009-2014- -0718,2017,9,1050,284
,69, ,2009,2012,1133,0,069-2009-2012- -1133,2017,9,1050,44
,69, ,2009,2012,1101,0,069-2009-2012- -1101,2017,9,1050,828
,69, ,2009,2012,1102,0,069-2009-2012- -1102,2017,9,1050,656
,69, ,2009,2012,504,0,069-2009-2012- -0504,2017,9,1060,5213
,69, ,2009,2013,724,0,069-2009-2013- -0724,2017,9,1060,472
,69, ,2009,2012,718,0,069-2009-2012- -0718,2017,9,1060,37938
,69, ,2009,2014,718,0,069-2009-2014- -0718,2017,9,1060,284
,69, ,2009,2012,1133,0,069-2009-2012- -1133,2017,9,1060,44
,69, ,2009,2012,1101,0,069-2009-2012- -1101,2017,9,1060,645
,69, ,2009,2012,1102,0,069-2009-2012- -1102,2017,9,1060,431
,69, ,2009,2012,504,0,069-2009-2012- -0504,2017,9,1081,0
,69, ,2009,2012,718,0,069-2009-2012- -0718,2017,9,1081,17307
,69, ,2009,2012,1133,0,069-2009-2012- -1133,2017,9,1081,0
,69, ,2009,2012,1101,0,069-2009-2012- -1101,2017,9,1081,162
,69, ,2009,2012,1102,0,069-2009-2012- -1102,2017,9,1081,225
,69, ,2009,2012,504,0,069-2009-2012- -0504,2017,9,1089,0
,69, ,2009,2012,718,0,069-2009-2012- -0718,2017,9,1089,0
,69, ,2009,2012,1133,0,069-2009-2012- -1133,2017,9,1089,0
,69, ,2009,2012,1101,0,069-2009-2012- -1101,2017,9,1089,0
,69, ,2009,2012,1102,0,069-2009-2012- -1102,2017,9,1089,0
,69, ,2009,2012,1133,0,069-2009-2012- -1133,2017,9,1093,0
,69, ,2009,2012,1101,0,069-2009-2012- -1101,2017,9,1093,21
,69, ,2009,2012,504,0,069-2009-2012- -0504,2017,9,1099,5213
,69, ,2009,2013,724,0,069-2009-2013- -0724,2017,9,1099,472
,69, ,2009,2012,718,0,069-2009-2012- -0718,2017,9,1099,55245
,69, ,2009,2014,718,0,069-2009-2014- -0718,2017,9,1099,284
,69, ,2009,2012,1133,0,069-2009-2012- -1133,2017,9,1099,44
,69, ,2009,2012,1101,0,069-2009-2012- -1101,2017,9,1099,828
,69, ,2009,2012,1102,0,069-2009-2012- -1102,2017,9,1099,656
,69, ,2009,2012,504,0,069-2009-2012- -0504,2017,9,1910,5213
,69, ,2009,2013,724,0,069-2009-2013- -0724,2017,9,1910,472
,69, ,2009,2012,718,0,069-2009-2012- -0718,2017,9,1910,55245
,69, ,2009,2014,718,0,069-2009-2014- -0718,2017,9,1910,284
,69, ,2009,2012,1133,0,069-2009-2012- -1133,2017,9,1910,44
,69, ,2009,2012,1101,0,069-2009-2012- -1101,2017,9,1910,828
,69, ,2009,2012,1102,0,069-2009-2012- -1102,2017,9,1910,656
,69, ,2009,2012,504,0,069-2009-2012- -0504,2017,9,2002,0
,69, ,2009,2012,718,0,069-2009-2012- -0718,2017,9,2002,0
,69, ,2009,2014,718,0,069-2009-2014- -0718,2017,9,2002,0
,69, ,2009,2012,1133,0,069-2009-2012- -1133,2017,9,2002,0
,69, ,2009,2012,1101,0,069-2009-2012- -1101,2017,9,2002,21
,69, ,2009,2012,1102,0,069-2009-2012- -1102,2017,9,2002,0
,69, ,2009,2012,504,0,069-2009-2012- -0504,2017,9,2004,0
,69, ,2009,2012,718,0,069-2009-2012- -0718,2017,9,2004,0
,69, ,2009,2014,718,0,069-2009-2014- -0718,2017,9,2004,0
,69, ,2009,2012,1133,0,069-2009-2012- -1133,2017,9,2004,0
,69, ,2009,2012,1101,0,069-2009-2012- -1101,2017,9,2004,21
,69, ,2009,2012,1102,0,069-2009-2012- -1102,2017,9,2004,0
,69, ,2009,2012,504,0,069-2009-2012- -0504,2017,9,2180,0
,69, ,2009,2012,718,0,069-2009-2012- -0718,2017,9,2180,0
,69, ,2009,2014,718,0,069-2009-2014- -0718,2017,9,2180,0
,69, ,2009,2012,1133,0,069-2009-2012- -1133,2017,9,2180,0
,69, ,2009,2012,1101,0,069-2009-2012- -1101,2017,9,2180,42
,69, ,2009,2012,1102,0,069-2009-2012- -1102,2017,9,2180,0
,69, ,2009,2012,504,0,069-2009-2012- -0504,2017,9,2190,0
,69, ,2009,2012,718,0,069-2009-2012- -0718,2017,9,2190,0
,69, ,2009,2014,718,0,069-2009-2014- -0718,2017,9,2190,0
,69, ,2009,2012,1133,0,069-2009-2012- -1133,2017,9,2190,0
,69, ,2009,2012,1101,0,069-2009-2012- -1101,2017,9,2190,21
,69, ,2009,2012,1102,0,069-2009-2012- -1102,2017,9,2190,0
,69, ,2009,2012,504,0,069-2009-2012- -0504,2017,9,2413,5213
,69, ,2009,2013,724,0,069-2009-2013- -0724,2017,9,2413,472
,69, ,2009,2012,718,0,069-2009-2012- -0718,2017,9,2413,55245
,69, ,2009,2014,718,0,069-2009-2014- -0718,2017,9,2413,284
,69, ,2009,2012,1133,0,069-2009-2012- -1133,2017,9,2413,44
,69, ,2009,2012,1101,0,069-2009-2012- -1101,2017,9,2413,807
,69, ,2009,2012,1102,0,069-2009-2012- -1102,2017,9,2413,656
,69, ,2009,2012,504,0,069-2009-2012- -0504,2017,9,2490,5213
,69, ,2009,2013,724,0,069-2009-2013- -0724,2017,9,2490,472
,69, ,2009,2012,718,0,069-2009-2012- -0718,2017,9,2490,55245
,69, ,2009,2014,718,0,069-2009-2014- -0718,2017,9,2490,284
,69, ,2009,2012,1133,0,069-2009-2012- -1133,2017,9,2490,44
,69, ,2009,2012,1101,0,069-2009-2012- -1101,2017,9,2490,807
,69, ,2009,2012,1102,0,069-2009-2012- -1102,2017,9,2490,656
,69, ,2009,2012,504,0,069-2009-2012- -0504,2017,9,2500,5213
,69, ,2009,2013,724,0,069-2009-2013- -0724,2017,9,2500,472
,69, ,2009,2012,718,0,069-2009-2012- -0718,2017,9,2500,55245
,69, ,2009,2014,718,0,069-2009-2014- -0718,2017,9,2500,284
,69, ,2009,2012,1133,0,069-2009-2012- -1133,2017,9,2500,44
,69, ,2009,2012,1101,0,069-2009-2012- -1101,2017,9,2500,828
,69, ,2009,2012,1102,0,069-2009-2012- -1102,2017,9,2500,656
,69, ,2009,2012,504,0,069-2009-2012- -0504,2017,9,2501,10426
,69, ,2009,2013,724,0,069-2009-2013- -0724,2017,9,2501,944
,69, ,2009,2012,718,0,069-2009-2012- -0718,2017,9,2501,110490
,69, ,2009,2014,718,0,069-2009-2014- -0718,2017,9,2501,568
,69, ,2009,2012,1133,0,069-2009-2012- -1133,2017,9,2501,88
,69, ,2009,2012,1101,0,069-2009-2012- -1101,2017,9,2501,1656
,69, ,2009,2012,1102,0,069-2009-2012- -1102,2017,9,2501,1312
,69, ,2009,2012,504,0,069-2009-2012- -0504,2017,9,2503,5213
,69, ,2009,2013,724,0,069-2009-2013- -0724,2017,9,2503,472
,69, ,2009,2012,718,0,069-2009-2012- -0718,2017,9,2503,55245
,69, ,2009,2014,718,0,069-2009-2014- -0718,2017,9,2503,284
,69, ,2009,2012,1133,0,069-2009-2012- -1133,2017,9,2503,44
,69, ,2009,2012,1101,0,069-2009-2012- -1101,2017,9,2503,807
