agency_identifier,allocation_transfer_agency,availability_type_code,beginning_period_of_availa,by_direct_reimbursable_fun,deobligations_recov_by_pro_cpe,ending_period_of_availabil,gross_outlay_amount_by_pro_cpe,gross_outlay_amount_by_pro_fyb,gross_outlays_delivered_or_cpe,gross_outlays_delivered_or_fyb,gross_outlays_undelivered_cpe,gross_outlays_undelivered_fyb,main_account_code,object_class,obligations_delivered_orde_cpe,obligations_delivered_orde_fyb,obligations_incurred_by_pr_cpe,obligations_undelivered_or_cpe,obligations_undelivered_or_fyb,program_activity_code,program_activity_name,sub_account_code,ussgl480100_undelivered_or_cpe,ussgl480100_undelivered_or_fyb,ussgl480200_undelivered_or_cpe,ussgl480200_undelivered_or_fyb,ussgl483100_undelivered_or_cpe,ussgl483200_undelivered_or_cpe,ussgl487100_downward_adjus_cpe,ussgl487200_downward_adjus_cpe,ussgl488100_upward_adjustm_cpe,ussgl488200_upward_adjustm_cpe,ussgl490100_delivered_orde_cpe,ussgl490100_delivered_orde_fyb,ussgl490200_delivered_orde_cpe,ussgl490800_authority_outl_cpe,ussgl490800_authority_outl_fyb,ussgl493100_delivered_orde_cpe,ussgl497100_downward_adjus_cpe,ussgl497200_downward_adjus_cpe,ussgl498100_upward_adjustm_cpe,ussgl498200_upward_adjustm_cpe,fiscal_year,period,tas,tas_with_sub
69,,X,,D,0,,0,0,0,0,0,0,1301,0,0,-1148,1148,0,0,1,Air Traffic Organization (ATO),0,0,0,0,0,0,0,0,0,0,0,0,-1148,0,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,0,,0,0,0,0,0,0,1301,210,0,0,0,0,0,1,Air Traffic Organization (ATO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,0,,-32,0,-32,0,0,0,1301,220,1,-4,-35,-149,-141,1,Air Traffic Organization (ATO),0,-149,-141,0,0,0,0,0,0,0,0,1,-4,-32,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,91,,-6,0,-6,0,0,0,1301,233,0,0,-5,-169,-169,1,Air Traffic Organization (ATO),0,-169,-169,0,0,0,0,91,0,0,0,0,0,-6,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,128,,-1022,0,-1022,0,0,0,1301,240,8,10,-2771,-2609,-862,1,Air Traffic Organization (ATO),0,-2608,-862,0,0,0,0,126,0,-2,0,8,10,-1022,0,0,0,2,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,0,,-112,0,-112,0,0,0,1301,251,0,0,-9,-7,-110,1,Air Traffic Organization (ATO),0,-7,-110,0,0,0,0,0,0,0,0,0,0,-112,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,12,,-32,0,-32,0,0,0,1301,252,-5515,-4587,-1173,-238,-25,1,Air Traffic Organization (ATO),0,-238,-25,0,0,0,0,12,0,0,0,-5515,-4587,-32,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,1365,,-1174,0,-1174,0,0,0,1301,253,-1564,-141,-1233,-2154,-3519,1,Air Traffic Organization (ATO),0,-2154,-3519,0,0,0,0,69,0,0,0,-1564,-141,-1174,0,0,0,1296,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,0,,-7,0,-7,0,0,0,1301,254,0,0,0,7,0,1,Air Traffic Organization (ATO),0,7,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,0,,-179,-475,-478,0,-176,-475,1301,257,8,8,-166,-469,-483,1,Air Traffic Organization (ATO),0,-469,-483,-176,-475,0,0,0,0,0,0,8,8,-478,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
